WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1564907.4788 5173631.9957)",328000,Halswell South,1.78085932,1.78085932,1564907.4788,5173631.99565,-43.58945552,172.56528263,1564907.4788,5173631.9957
"POINT (1570728.302 5178751.901)",328100,Sydenham Central,1.21275693,1.21275693,1570728.302,5178751.90095,-43.54360725,172.6376644,1570728.302,5178751.901
"POINT (1568771.0243 5177119.2303)",328200,Spreydon South,0.72391644,0.72391644,1568771.02435,5177119.23025,-43.5582285,172.61334307,1568771.0243,5177119.2303
"POINT (1577122.5505 5183354.7892)",328300,Rawhiti,1.93513163,1.93513163,1577122.5505,5183354.78915,-43.50238558,172.71700742,1577122.5505,5183354.7892
"POINT (1574931.5732 5181562.6889)",328400,Wainoni,1.50391214,1.50391214,1574931.5732,5181562.6889,-43.51845163,172.68982292,1574931.5732,5181562.6889
"POINT (1573512.9418 5180493.3719)",328500,Linwood North,0.8574418,0.8574418,1573512.94175,5180493.37185,-43.52803092,172.67221803,1573512.9418,5180493.3719
"POINT (1576181.2146 5182438.834)",328600,Aranui,1.41641589,1.41641589,1576181.2146,5182438.834,-43.51060358,172.70532318,1576181.2146,5182438.834
"POINT (1570368.6012 5177945.3695)",328700,Sydenham West,0.48794081,0.48794081,1570368.6012,5177945.36945,-43.5508551,172.63316794,1570368.6012,5177945.3695
"POINT (1572003.0753 5179003.7622)",328800,Lancaster Park,1.11557726,1.11557726,1572003.0753,5179003.7622,-43.5413884,172.6534567,1572003.0753,5179003.7622
"POINT (1572832.37 5179510.1414)",328900,Phillipstown,0.9334353,0.9334353,1572832.37,5179510.1414,-43.53685957,172.66374679,1572832.37,5179510.1414
"POINT (1566414.3935 5172838.6353)",329000,Kennedys Bush,12.0059087,12.0059087,1566414.3935,5172838.6353,-43.59666832,172.5839002,1566414.3935,5172838.6353
"POINT (1570076.7432 5177012.0322)",329100,Somerfield East,1.22917183,1.22917183,1570076.74315,5177012.03215,-43.55924724,172.62950338,1570076.7432,5177012.0322
"POINT (1569251.9102 5176269.1721)",329200,Somerfield West,1.18118116,1.18118116,1569251.9102,5176269.17205,-43.56590241,172.61924876,1569251.9102,5176269.1721
"POINT (1574374.7058 5180322.4853)",329300,Linwood East,0.91216529,0.91216529,1574374.70585,5180322.48525,-43.52959968,172.68287429,1574374.7058,5180322.4853
"POINT (1571208.306 5177983.5016)",329400,Sydenham North,0.48343692,0.48343692,1571208.30595,5177983.5016,-43.55054464,172.64356518,1571208.306,5177983.5016
"POINT (1568635.2206 5175601.8922)",329500,Hoon Hay South,0.79560345,0.79560345,1568635.22055,5175601.8922,-43.5718849,172.6115739,1568635.2206,5175601.8922
"POINT (1572519.1069 5178808.1818)",329600,Charleston (Christchurch City),0.36094657,0.36094657,1572519.10685,5178808.1818,-43.5431686,172.65983408,1572519.1069,5178808.1818
"POINT (1571027.6992 5177507.8163)",329700,Sydenham South,0.55360982,0.55360982,1571027.6992,5177507.81625,-43.55482073,172.64130395,1571027.6992,5177507.8163
"POINT (1576181.9305 5181403.7049)",329800,Bexley,0.89880765,0.89880765,1576181.9305,5181403.70485,-43.51992407,172.70528668,1576181.9305,5181403.7049
"POINT (1571993.2213 5177984.268)",329900,Waltham,0.58805464,0.58805464,1571993.22125,5177984.26795,-43.55056762,172.65328212,1571993.2213,5177984.268
"POINT (1568472.1305 5174168.5649)",330000,Westmorland,5.55766468,5.55766468,1568472.13045,5174168.56485,-43.58478365,172.60947081,1568472.1305,5174168.5649
"POINT (1573762.8895 5179062.8719)",330100,Woolston North,1.29547608,1.29547608,1573762.88945,5179062.8719,-43.54092011,172.67524201,1573762.8895,5179062.8719
"POINT (1578137.511 5182103.2402)",330200,New Brighton,1.76101194,1.76101194,1578137.51095,5182103.2402,-43.51368514,172.72951195,1578137.511,5182103.2402
"POINT (1569538.4077 5175372.4284)",330300,Cashmere West,2.38611462,2.38611462,1569538.4077,5175372.42835,-43.57398844,172.62274596,1569538.4077,5175372.4284
"POINT (1574442.1737 5179534.9214)",330400,Bromley South,1.24298994,1.24298994,1574442.1737,5179534.92135,-43.53669331,172.68367216,1574442.1737,5179534.9214
"POINT (1573206.4585 5178279.0899)",330500,Ensors,0.87364461,0.87364461,1573206.45845,5178279.0899,-43.54795758,172.66831604,1573206.4585,5178279.0899
"POINT (1571154.6173 5176555.3109)",330600,Beckenham,0.87656893,0.87656893,1571154.6173,5176555.31085,-43.56340204,172.64282459,1571154.6173,5176555.3109
"POINT (1576269.0775 5179749.5094)",330700,Bromley North,6.22879283,6.22879283,1576269.07755,5179749.5094,-43.53482145,172.70629272,1576269.0775,5179749.5094
"POINT (1572050.6956 5177246.086)",330800,St Martins,1.04565949,1.04565949,1572050.6956,5177246.086,-43.5572164,172.6539556,1572050.6956,5177246.086
"POINT (1572703.4563 5177374.7284)",330900,Opawa,0.81403259,0.81403259,1572703.45625,5177374.72835,-43.55608227,172.66204386,1572703.4563,5177374.7284
"POINT (1573833.6881 5177874.9958)",331000,Woolston West,0.51495272,0.51495272,1573833.68805,5177874.99575,-43.55161834,172.67606106,1573833.6881,5177874.9958
"POINT (1574707.8804 5178197.8631)",331100,Woolston East,1.27549921,1.27549921,1574707.8804,5178197.8631,-43.54874136,172.68689845,1574707.8804,5178197.8631
"POINT (1571811.8131 5175935.7911)",331200,Huntsbury,1.36519209,1.36519209,1571811.8131,5175935.79105,-43.56900535,172.6509299,1571811.8131,5175935.7911
"POINT (1570983.6989 5174932.6512)",331300,Cashmere East,2.32707304,2.32707304,1570983.69885,5174932.6512,-43.57800586,172.64062139,1570983.6989,5174932.6512
"POINT (1573359.2147 5176899.8191)",331400,Hillsborough (Christchurch City),1.6440045,1.6440045,1573359.21465,5176899.8191,-43.56038209,172.67013928,1573359.2147,5176899.8191
"POINT (1574496.1438 5176810.0356)",331500,Woolston South,2.40401821,2.40401821,1574496.1438,5176810.03555,-43.56123026,172.68421207,1574496.1438,5176810.0356
"POINT (1574493.6509 5173002.3912)",331600,Port Hills,44.47844245,44.47844245,1574493.65085,5173002.3912,-43.59551435,172.68400196,1574493.6509,5173002.3912
"POINT (1578924.8245 5180149.8794)",331700,South New Brighton,2.76495815,2.76495815,1578924.82445,5180149.87935,-43.53129617,172.73917693,1578924.8245,5180149.8794
"POINT (1575787.1958 5176939.8582)",331800,Brookhaven-Ferrymead,2.67350759,2.67350759,1575787.19575,5176939.85815,-43.56010436,172.70020341,1575787.1958,5176939.8582
"POINT (1576779.8293 5174996.8871)",331900,Heathcote Valley,4.18072938,4.18072938,1576779.82925,5174996.88705,-43.57763059,172.71241055,1576779.8293,5174996.8871
